area_slug,area_name,state,trail_name,activity,trail_type,status,source_label,map_url,pass_url,contact_target
rush-ky,Rush,Kentucky,Rush Off-Road,OHV,Trail system,Official link,Private park map,https://rushoffroad.com/,https://rushoffroad.com/shop,Private park or trail system operator
rush-ky,Rush,Kentucky,Rush family and scenic loops,OHV,Park routes,Official link,Private park map,https://rushoffroad.com/,https://rushoffroad.com/shop,Private park or trail system operator
rush-ky,Rush,Kentucky,Rush technical hill climbs,OHV,Park routes,Official link,Private park map,https://rushoffroad.com/,https://rushoffroad.com/shop,Private park or trail system operator
inez-ky,Inez,Kentucky,First Frontier region,OHV,Regional trail info,Public map,Official public map,https://1stfrontier.org/,,Map publisher / regional authority
hatfield-ky,Hatfield,Kentucky,Hatfield-McCoy Buffalo Mountain,OHV,Trail system,Public map,Official public map,https://trailsheaven.com/plan-your-trip/choose-a-trail/buffalo-mountain/,https://trailsheaven.com/trail-permit/,Map publisher / regional authority
hatfield-ky,Hatfield,Kentucky,Hatfield-McCoy Devil Anse,OHV,Trail system,Public map,Official public map,https://trailsheaven.com/plan-your-trip/choose-a-trail/devil-anse/,https://trailsheaven.com/trail-permit/,Map publisher / regional authority
hatfield-ky,Hatfield,Kentucky,Hatfield-McCoy trail rules,OHV,Rules and permits,Public map,Official public map,https://trailsheaven.com/about-the-trails/trail-rules-regulations/,https://trailsheaven.com/trail-permit/,Map publisher / regional authority
matewan-wv,Matewan,West Virginia,Hatfield-McCoy Buffalo Mountain,OHV,Trail system,Public map,Official public map,https://trailsheaven.com/plan-your-trip/choose-a-trail/buffalo-mountain/,https://trailsheaven.com/trail-permit/,Map publisher / regional authority
matewan-wv,Matewan,West Virginia,Hatfield-McCoy Devil Anse,OHV,Trail system,Public map,Official public map,https://trailsheaven.com/plan-your-trip/choose-a-trail/devil-anse/,https://trailsheaven.com/trail-permit/,Map publisher / regional authority
matewan-wv,Matewan,West Virginia,Hatfield-McCoy Rockhouse,OHV,Nearby trail system,Public map,Official public map,https://trailsheaven.com/plan-your-trip/choose-a-trail/rockhouse/,https://trailsheaven.com/trail-permit/,Map publisher / regional authority
harlan-ky,Harlan County,Kentucky,Black Mountain Off-Road Adventure Area,OHV,Trail system,Official link,Map source,https://www.harlancountytrails.com/attractions/off-roading/,https://www.harlancountytrails.com/attractions/off-roading/,Local tourism office or land manager
harlan-ky,Harlan County,Kentucky,Evarts trailhead,OHV,Trail access,Official link,Map source,https://www.blackmountainoffroad.com/trailheads,https://www.harlancountytrails.com/attractions/off-roading/,Local tourism office or land manager
harlan-ky,Harlan County,Kentucky,Putney trailhead,OHV,Trail access,Official link,Map source,https://www.blackmountainoffroad.com/trailheads,https://www.harlancountytrails.com/attractions/off-roading/,Local tourism office or land manager
harlan-ky,Harlan County,Kentucky,Little Shepherd Trail,OHV,Scenic mountain route,Contact needed,Source needs verification,https://www.google.com/maps/search/?api=1&query=Little+Shepherd+Trail+Harlan+KY,https://www.harlancountytrails.com/attractions/off-roading/,Local tourism office or land manager
royal-blue-tn,Royal Blue / Brimstone,Tennessee,North Cumberland WMA / Royal Blue,OHV,Trail area,Public map,Public agency map,https://www.tn.gov/twra/wildlife-management-areas/east-tennessee-r4/north-cumberland-wma.html,https://www.tn.gov/twra/wildlife-management-areas/east-tennessee-r4/north-cumberland-wma.html,Public land manager / agency GIS contact
royal-blue-tn,Royal Blue / Brimstone,Tennessee,Sundquist Unit,OHV,North Cumberland unit,Public map,Public agency map,https://www.tn.gov/twra/wildlife-management-areas/east-tennessee-r4/north-cumberland-wma.html,https://www.tn.gov/twra/wildlife-management-areas/east-tennessee-r4/north-cumberland-wma.html,Public land manager / agency GIS contact
